sysid,sysname,year,assigned_month,yr_mo_d,sum_min,num_trip,sysname_alt
1,"Blue Bikes (Boston, MA)","2,019",4,4/15/2019 0:00,"75,946.17","4,573","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/16/2019 0:00,"100,057.98","6,452","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/17/2019 0:00,"109,756.82","7,204","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/18/2019 0:00,"74,318.35","5,515","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/19/2019 0:00,"128,749.82","7,383","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/20/2019 0:00,"66,742.22","3,622","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/21/2019 0:00,"119,121.58","5,326","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/22/2019 0:00,"47,285.40","3,499","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/23/2019 0:00,"80,796.68","6,216","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/24/2019 0:00,"119,520.95","7,896","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/25/2019 0:00,"126,701.77","8,272","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/26/2019 0:00,"38,867.58","3,369","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/27/2019 0:00,"81,145.85","4,594","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/28/2019 0:00,"68,077","4,037","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/29/2019 0:00,"111,030.17","7,330","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/30/2019 0:00,"75,597.32","5,716","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,5/1/2019 0:00,"95,647.17","7,202","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,5/2/2019 0:00,"67,705.25","5,421","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,5/3/2019 0:00,"81,211.85","6,049","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,5/4/2019 0:00,"100,072.15","5,328","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/5/2019 0:00,"78,445.83","4,617","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/6/2019 0:00,"116,449.22","7,820","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/7/2019 0:00,"113,979.02","7,811","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/8/2019 0:00,"133,012.12","8,856","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/9/2019 0:00,"120,538.18","8,363","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/10/2019 0:00,"100,390.77","7,071","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/11/2019 0:00,"187,069","8,022","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/12/2019 0:00,"18,363.28","1,473","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/13/2019 0:00,"68,018.82","5,186","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/14/2019 0:00,"57,394.88","4,780","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/15/2019 0:00,"111,072.15","7,893","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/16/2019 0:00,"132,500.98","8,691","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/17/2019 0:00,"88,430.60","5,783","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/18/2019 0:00,"208,306.55","8,832","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/19/2019 0:00,"118,637.72","5,839","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/20/2019 0:00,"133,957.85","8,414","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/21/2019 0:00,"146,914.37","9,385","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/22/2019 0:00,"138,854.52","8,965","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/23/2019 0:00,"118,960.23","8,211","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/24/2019 0:00,"121,973.33","7,874","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/25/2019 0:00,"183,608.58","7,591","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/26/2019 0:00,"205,474.22","7,634","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/27/2019 0:00,"204,330.97","8,134","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/28/2019 0:00,"59,702.70","4,523","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/29/2019 0:00,"103,444.95","7,559","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/30/2019 0:00,"128,624.32","8,560","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,5/31/2019 0:00,"154,622.40","9,354","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",5,6/1/2019 0:00,"160,039.95","7,328","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/2/2019 0:00,"148,291.63","6,893","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/3/2019 0:00,"146,576.20","9,289","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/4/2019 0:00,"158,609.03","10,002","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/5/2019 0:00,"164,755.15","10,453","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/6/2019 0:00,"154,304.97","9,939","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/7/2019 0:00,"193,632.48","10,827","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/8/2019 0:00,"226,316.05","9,504","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/9/2019 0:00,"210,886.70","8,842","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/10/2019 0:00,"166,610.12","10,069","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/11/2019 0:00,"133,466.27","7,991","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/12/2019 0:00,"190,817.53","11,707","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/13/2019 0:00,"58,852.90","4,505","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/14/2019 0:00,"173,633.07","10,376","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/15/2019 0:00,"218,526.92","9,315","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/16/2019 0:00,"61,172.65","3,672","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/17/2019 0:00,"175,465.08","10,607","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/18/2019 0:00,"114,036.33","7,932","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/19/2019 0:00,"173,027.22","10,937","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/20/2019 0:00,"102,099.92","7,061","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/21/2019 0:00,"133,520.68","8,576","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/22/2019 0:00,"222,784.63","9,618","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/23/2019 0:00,"231,176.47","9,835","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/24/2019 0:00,"183,468.92","10,627","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/25/2019 0:00,"119,768.03","8,360","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/26/2019 0:00,"186,683.02","11,393","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/27/2019 0:00,"189,980.32","11,627","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/28/2019 0:00,"186,405.57","11,039","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",6,6/29/2019 0:00,"146,886.30","7,102","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,6/30/2019 0:00,"126,066.07","6,405","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/1/2019 0:00,"184,187.23","10,795","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/2/2019 0:00,"183,357.92","11,152","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/3/2019 0:00,"172,759.97","10,322","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/4/2019 0:00,"304,966","10,646","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/5/2019 0:00,"173,122.73","8,236","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/6/2019 0:00,"116,861","5,331","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/7/2019 0:00,"213,138.10","9,164","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/8/2019 0:00,"185,659.90","11,115","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/9/2019 0:00,"182,544.67","11,427","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/10/2019 0:00,"176,706.68","11,152","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/11/2019 0:00,"185,032.50","11,327","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/12/2019 0:00,"138,091.88","8,753","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/13/2019 0:00,"212,771.28","9,761","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/14/2019 0:00,"207,869.13","9,304","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/15/2019 0:00,"192,479.20","11,485","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/16/2019 0:00,"196,264.15","12,117","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/17/2019 0:00,"134,570.53","9,176","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/18/2019 0:00,"155,621.10","10,104","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/19/2019 0:00,"184,673.50","11,101","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/20/2019 0:00,"128,581.30","6,722","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/21/2019 0:00,"140,220.02","7,190","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/22/2019 0:00,"147,306.02","9,529","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/23/2019 0:00,"120,303.02","7,897","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/24/2019 0:00,"214,004.25","12,771","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/25/2019 0:00,"216,571.68","13,123","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/26/2019 0:00,"212,770.47","12,330","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",7,7/27/2019 0:00,"231,171.12","9,985","Boston Metro, MA (Blue Bikes)"
